## population PofZ values from gsi_sim.  These are plug-in values of type indicated by the file name
IndivName	NumLoc	srumapop	srvalpop	wfyankee	mainefsr	srefspop	srpahpop	srlempop	srnfspop
OtsSALM18C_1447	167	0.44652004	0.00671841	0.00015508	0.12651186	0.03613503	0.34418211	0.03976906	0.00000842
OtsSALM18C_1448	169	0.10770561	0.20913053	0.00002070	0.01460419	0.66631707	0.00033914	0.00157534	0.00030742
OtsSALM18C_1450	168	0.35033979	0.00642593	0.00028789	0.00504458	0.38433310	0.20516021	0.04839109	0.00001742
OtsSALM18C_1451	165	0.06962941	0.00971366	0.00002487	0.02078725	0.88427200	0.01189484	0.00367178	0.00000620
OtsSALM18C_1452	168	0.02123637	0.48157736	0.00000025	0.17655736	0.27933939	0.03931958	0.00196287	0.00000682
OtsSALM18C_1453	168	0.24545964	0.03441518	0.02009436	0.02526207	0.00292828	0.67177217	0.00006798	0.00000031
OtsSALM18C_1454	163	0.00015137	0.00216817	0.00000000	0.00234104	0.00000288	0.99053574	0.00470944	0.00009135
OtsSALM18C_1455	167	0.49821773	0.21771120	0.00003332	0.07075670	0.18710889	0.00021447	0.00001807	0.02593962
OtsSALM18C_1456	168	0.91460046	0.00974860	0.00060599	0.02212573	0.02007909	0.00060731	0.00266101	0.02957181
OtsSALM18C_1457	167	0.00286645	0.00002190	0.00000000	0.00113770	0.59244776	0.40212447	0.00134263	0.00005909
OtsSALM18C_1458	169	0.12474669	0.00356722	0.00003981	0.03124381	0.26042241	0.57895565	0.00102002	0.00000439
OtsSALM18C_1459	168	0.05337233	0.08379400	0.00062359	0.07209503	0.77998437	0.00965483	0.00003770	0.00043815
OtsSALM18C_1461	168	0.00721777	0.07244963	0.00000443	0.01859389	0.09590707	0.00020008	0.01761736	0.78800977
OtsSALM18C_1462	167	0.01277319	0.02049021	0.00004078	0.02413023	0.92810719	0.01404522	0.00021419	0.00019899
OtsSALM18C_1463	169	0.03487045	0.27205797	0.00000024	0.12760217	0.11037015	0.45509393	0.00000508	0.00000001
OtsSALM18C_1464	169	0.03907538	0.02047799	0.00014244	0.01889925	0.00325659	0.81847828	0.09965591	0.00001416
OtsSALM18C_1465	168	0.43992968	0.05794722	0.00030570	0.10809722	0.31165837	0.03346188	0.00056048	0.04803945
OtsSALM18C_1466	165	0.15124380	0.20987311	0.00074792	0.02171293	0.61024106	0.00517528	0.00041745	0.00058846
OtsSALM18C_1467	159	0.00504256	0.03468104	0.00009970	0.00176246	0.43140345	0.00037346	0.50286375	0.02377358
OtsSALM18C_1468	167	0.03269972	0.00032677	0.00000619	0.00171020	0.04627579	0.34625587	0.00011483	0.57261063
OtsSALM18C_1469	168	0.00065205	0.00255100	0.00000315	0.00044250	0.00030831	0.96747726	0.02856573	0.00000000
OtsSALM18C_1470	155	0.79218324	0.00037682	0.00482645	0.00037269	0.00076172	0.20147805	0.00000001	0.00000102
OtsSALM18C_1471	169	0.02212464	0.02489236	0.00020197	0.00490756	0.71399129	0.15963408	0.00210485	0.07214326
OtsSALM18C_1472	167	0.56570119	0.21196789	0.06445615	0.03335093	0.00537564	0.00536320	0.00072883	0.11305617
OtsSALM18C_1473	169	0.99756409	0.00055138	0.00007214	0.00036493	0.00034153	0.00110512	0.00000008	0.00000072
OtsSALM18C_1474	168	0.31154784	0.07071055	0.00023090	0.03704455	0.23088915	0.06582830	0.15353969	0.13020902
OtsSALM18C_1475	168	0.39496533	0.00238433	0.00002713	0.00368371	0.52403958	0.07489430	0.00000128	0.00000433
OtsSALM18C_1476	169	0.00901348	0.00012754	0.00001981	0.00534704	0.25911767	0.72637186	0.00000259	0.00000001
OtsSALM18C_1477	168	0.00041746	0.00000577	0.00000002	0.00327668	0.02328603	0.97301294	0.00000109	0.00000001
OtsSALM18C_1478	167	0.00003246	0.00009261	0.00000000	0.00011278	0.00252657	0.99715757	0.00007526	0.00000274
OtsSALM18C_1479	168	0.01236548	0.00098835	0.00000019	0.00002635	0.03047117	0.05046568	0.00191929	0.90376350
