"Tag Code","Mark Rear Type Name","Event Type Name","Event Site Code Value","Event Date Time Value","Event Release Date Time Value","Antenna ID","Antenna Group Configuration Value","CTH Count"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:40:26 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:41:13 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:41:49 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:41:57 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:42:02 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:42:03 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:42:10 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:42:52 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:42:53 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:42:55 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:01 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:02 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:03 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:04 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:05 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:06 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:08 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:09 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:27 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:29 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:31 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:33 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:34 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:35 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:36 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:37 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:38 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:43:39 AM","","03","120","1"
